user,prompt,key,press_time,release_time,dwell_time,p2p_time,r2p_time,r2r_time
noah,"The quick brown fox jumps over the lazy dog.",h,93402.5,93521.5,119,0,0,0
noah,"The quick brown fox jumps over the lazy dog.",e,93478.29999998212,93613.09999999404,134.80000001192093,75.7999999821186,-43.20000001788139,91.59999999403954
noah,"The quick brown fox jumps over the lazy dog.", ,93576.59999999404,93740.39999997616,163.7999999821186,98.30000001192093,-36.5,127.2999999821186
noah,"The quick brown fox jumps over the lazy dog.",q,93697,93800.69999998808,103.69999998807907,120.40000000596046,-43.39999997615814,60.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",u,93824.29999998212,93917.59999999404,93.30000001192093,127.2999999821186,23.599999994039536,116.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",i,93975.29999998212,94089.89999997616,114.59999999403954,151,57.69999998807907,172.2999999821186
noah,"The quick brown fox jumps over the lazy dog.",c,94073.59999999404,94210.19999998808,136.59999999403954,98.30000001192093,-16.299999982118607,120.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",k,94172.19999998808,94293.09999999404,120.90000000596046,98.59999999403954,-38,82.90000000596046
noah,"The quick brown fox jumps over the lazy dog.", ,94274.29999998212,94393,118.7000000178814,102.09999999403954,-18.80000001192093,99.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",n,94390.39999997616,94502.59999999404,112.2000000178814,116.09999999403954,-2.600000023841858,109.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",r,94483,94622.69999998808,139.69999998807907,92.60000002384186,-19.599999994039536,120.09999999403954
noah,"The quick brown fox jumps over the lazy dog.",o,94588,94700.69999998808,112.69999998807907,105,-34.69999998807907,78
noah,"The quick brown fox jumps over the lazy dog.",w,94687.09999999404,94799.69999998808,112.59999999403954,99.09999999403954,-13.599999994039536,99
noah,"The quick brown fox jumps over the lazy dog.",n,94774.89999997616,94916.89999997616,142,87.7999999821186,-24.80000001192093,117.19999998807907
noah,"The quick brown fox jumps over the lazy dog.", ,94877.79999998212,95037.59999999404,159.80000001192093,102.90000000596046,-39.099999994039536,120.7000000178814
noah,"The quick brown fox jumps over the lazy dog.",Backspace,95234.19999998808,95315.09999999404,80.90000000596046,356.40000000596046,196.59999999403954,277.5
noah,"The quick brown fox jumps over the lazy dog.",Backspace,95365.5,95462.5,97,131.30000001192093,50.400000005960464,147.40000000596046
noah,"The quick brown fox jumps over the lazy dog.",Backspace,95501.29999998212,95617.5,116.2000000178814,135.7999999821186,38.79999998211861,155
noah,"The quick brown fox jumps over the lazy dog.",Backspace,95664.59999999404,95767.39999997616,102.7999999821186,163.30000001192093,47.099999994039536,149.89999997615814
noah,"The quick brown fox jumps over the lazy dog.",Backspace,95828.19999998808,95924.79999998212,96.59999999403954,163.59999999403954,60.80000001192093,157.40000000596046
noah,"The quick brown fox jumps over the lazy dog.",Backspace,96174.59999999404,96245.09999999404,70.5,346.40000000596046,249.80000001192093,320.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",b,96399,96500.79999998212,101.7999999821186,224.40000000596046,153.90000000596046,255.69999998807907
noah,"The quick brown fox jumps over the lazy dog.",r,96492.09999999404,96600.39999997616,108.2999999821186,93.09999999403954,-8.699999988079071,99.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",o,96609,96724.29999998212,115.2999999821186,116.90000000596046,8.600000023841858,123.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",w,96661.29999998212,96725.5,64.2000000178814,52.29999998211861,-63,1.2000000178813934
noah,"The quick brown fox jumps over the lazy dog.",n,96836.79999998212,97003.59999999404,166.80000001192093,175.5,111.2999999821186,278.09999999403954
noah,"The quick brown fox jumps over the lazy dog.", ,97260.5,97410.29999998212,149.7999999821186,423.7000000178814,256.90000000596046,406.69999998807907
noah,"The quick brown fox jumps over the lazy dog.",f,97434.69999998808,97555.19999998808,120.5,174.19999998807907,24.400000005960464,144.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",o,97513.79999998212,97689.09999999404,175.30000001192093,79.09999999403954,-41.400000005960464,133.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",x,97671.79999998212,97826.09999999404,154.30000001192093,158,-17.30000001192093,137
noah,"The quick brown fox jumps over the lazy dog.", ,97781.19999998808,97897.39999997616,116.19999998807907,109.40000000596046,-44.900000005960464,71.2999999821186
noah,"The quick brown fox jumps over the lazy dog.",j,97879,97943.19999998808,64.19999998807907,97.80000001192093,-18.399999976158142,45.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",u,98020.09999999404,98104.09999999404,84,141.09999999403954,76.90000000596046,160.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",m,98196.29999998212,98267.89999997616,71.59999999403954,176.19999998807907,92.19999998807907,163.7999999821186
noah,"The quick brown fox jumps over the lazy dog.",p,98356.29999998212,98480,123.7000000178814,160,88.40000000596046,212.10000002384186
noah,"The quick brown fox jumps over the lazy dog.",s,98447.19999998808,98579.19999998808,132,90.90000000596046,-32.80000001192093,99.19999998807907
noah,"The quick brown fox jumps over the lazy dog.", ,98508,98633.19999998808,125.19999998807907,60.80000001192093,-71.19999998807907,54
noah,"The quick brown fox jumps over the lazy dog.",o,98602.5,98758.79999998212,156.2999999821186,94.5,-30.69999998807907,125.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",v,98700.69999998808,98795.79999998212,95.09999999403954,98.19999998807907,-58.099999994039536,37
noah,"The quick brown fox jumps over the lazy dog.",e,98837.69999998808,98969.79999998212,132.09999999403954,137,41.900000005960464,174
noah,"The quick brown fox jumps over the lazy dog.",r,98912.09999999404,98979,66.90000000596046,74.40000000596046,-57.69999998807907,9.200000017881393
noah,"The quick brown fox jumps over the lazy dog.", ,98932.19999998808,99083.5,151.30000001192093,20.099999994039536,-46.80000001192093,104.5
noah,"The quick brown fox jumps over the lazy dog.",t,99032.5,99158.09999999404,125.59999999403954,100.30000001192093,-51,74.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",h,99111.39999997616,99210.59999999404,99.2000000178814,78.89999997615814,-46.70000001788139,52.5
noah,"The quick brown fox jumps over the lazy dog.",e,99167.59999999404,99334.39999997616,166.7999999821186,56.20000001788139,-43,123.7999999821186
noah,"The quick brown fox jumps over the lazy dog.", ,99275.89999997616,99406.39999997616,130.5,108.2999999821186,-58.5,72
noah,"The quick brown fox jumps over the lazy dog.",l,99463.79999998212,99604.19999998808,140.40000000596046,187.90000000596046,57.400000005960464,197.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",a,99649,99714.19999998808,65.19999998807907,185.2000000178814,44.80000001192093,110
noah,"The quick brown fox jumps over the lazy dog.",z,99852.29999998212,99995.29999998212,143,203.2999999821186,138.09999999403954,281.09999999403954
noah,"The quick brown fox jumps over the lazy dog.",y,100075.89999997616,100189.89999997616,114,223.59999999403954,80.59999999403954,194.59999999403954
noah,"The quick brown fox jumps over the lazy dog.", ,100210.39999997616,100350,139.60000002384186,134.5,20.5,160.10000002384186
noah,"The quick brown fox jumps over the lazy dog.",g,100589.39999997616,100631.39999997616,42,379,239.39999997615814,281.39999997615814
noah,"The quick brown fox jumps over the lazy dog.",Backspace,100863.09999999404,100979.89999997616,116.7999999821186,273.7000000178814,231.7000000178814,348.5
noah,"The quick brown fox jumps over the lazy dog.",d,100981,101076.79999998212,95.7999999821186,117.90000000596046,1.100000023841858,96.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",o,101053.79999998212,101201.29999998212,147.5,72.7999999821186,-23,124.5
noah,"The quick brown fox jumps over the lazy dog.",g,101162.5,101293.59999999404,131.09999999403954,108.7000000178814,-38.79999998211861,92.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",.,101511.39999997616,101636.5,125.10000002384186,348.89999997615814,217.7999999821186,342.90000000596046
noah,"Never underestimate the power of a good book.",e,102666.09999999404,102764.39999997616,98.2999999821186,0,0,0
noah,"Never underestimate the power of a good book.",v,102825.69999998808,102910.19999998808,84.5,159.59999999403954,61.30000001192093,145.80000001192093
noah,"Never underestimate the power of a good book.",e,102952.69999998808,103102.09999999404,149.40000000596046,127,42.5,191.90000000596046
noah,"Never underestimate the power of a good book.",r,103027.69999998808,103201.79999998212,174.09999999403954,75,-74.40000000596046,99.69999998807907
noah,"Never underestimate the power of a good book.", ,103089.5,103205.59999999404,116.09999999403954,61.80000001192093,-112.2999999821186,3.800000011920929
noah,"Never underestimate the power of a good book.",u,103197.29999998212,103295.59999999404,98.30000001192093,107.7999999821186,-8.300000011920929,90
noah,"Never underestimate the power of a good book.",n,103368.89999997616,103482.79999998212,113.90000000596046,171.59999999403954,73.2999999821186,187.19999998807907
noah,"Never underestimate the power of a good book.",d,103395.79999998212,103508.79999998212,113,26.900000005960464,-87,26
noah,"Never underestimate the power of a good book.",e,103561.69999998808,103716.29999998212,154.59999999403954,165.90000000596046,52.900000005960464,207.5
noah,"Never underestimate the power of a good book.",r,103650.5,103880,229.5,88.80000001192093,-65.7999999821186,163.7000000178814
noah,"Never underestimate the power of a good book.",e,103786.59999999404,103970.89999997616,184.2999999821186,136.09999999403954,-93.40000000596046,90.89999997615814
noah,"Never underestimate the power of a good book.",s,103908.69999998808,104102.79999998212,194.09999999403954,122.09999999403954,-62.19999998807907,131.90000000596046
noah,"Never underestimate the power of a good book.",t,104039.29999998212,104217.29999998212,178,130.59999999403954,-63.5,114.5
noah,"Never underestimate the power of a good book.",i,104204.29999998212,104316.59999999404,112.30000001192093,165,-13,99.30000001192093
noah,"Never underestimate the power of a good book.",m,104401,104531.69999998808,130.69999998807907,196.7000000178814,84.40000000596046,215.09999999403954
noah,"Never underestimate the power of a good book.",a,104485.79999998212,104635.79999998212,150,84.7999999821186,-45.900000005960464,104.09999999403954
noah,"Never underestimate the power of a good book.",t,104570.59999999404,104673.19999998808,102.59999999403954,84.80000001192093,-65.19999998807907,37.400000005960464
noah,"Never underestimate the power of a good book.",e,104664.79999998212,104818.29999998212,153.5,94.19999998807907,-8.400000005960464,145.09999999403954
noah,"Never underestimate the power of a good book.", ,104772,104918.59999999404,146.59999999403954,107.2000000178814,-46.29999998211861,100.30000001192093
noah,"Never underestimate the power of a good book.",t,104847.39999997616,104989.5,142.10000002384186,75.39999997615814,-71.2000000178814,70.90000000596046
