user,prompt,key,press_time,release_time,dwell_time,p2p_time,r2p_time,r2r_time
noah,"The quick brown fox jumps over the lazy dog.",h,4394.600000023842,4514.9000000059605,120.2999999821186,0,0,0
noah,"The quick brown fox jumps over the lazy dog.",e,4490.100000023842,4624.600000023842,134.5,95.5,-24.799999982118607,109.7000000178814
noah,"The quick brown fox jumps over the lazy dog.", ,4597.5,4745.4000000059605,147.90000000596046,107.39999997615814,-27.100000023841858,120.7999999821186
noah,"The quick brown fox jumps over the lazy dog.",q,4705.600000023842,4802.200000017881,96.59999999403954,108.10000002384186,-39.79999998211861,56.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",u,4765.700000017881,4863.4000000059605,97.69999998807907,60.099999994039536,-36.5,61.19999998807907
noah,"The quick brown fox jumps over the lazy dog.",i,4937.800000011921,5041.4000000059605,103.59999999403954,172.09999999403954,74.40000000596046,178
noah,"The quick brown fox jumps over the lazy dog.",c,5063.800000011921,5166,102.19999998807907,126,22.400000005960464,124.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",k,5124.100000023842,5253.100000023842,129,60.30000001192093,-41.89999997615814,87.10000002384186
noah,"The quick brown fox jumps over the lazy dog.", ,5277.800000011921,5409.600000023842,131.80000001192093,153.69999998807907,24.69999998807907,156.5
noah,"The quick brown fox jumps over the lazy dog.",b,5423.700000017881,5572.800000011921,149.09999999403954,145.90000000596046,14.099999994039536,163.19999998807907
noah,"The quick brown fox jumps over the lazy dog.",r,5583.100000023842,5718.700000017881,135.59999999403954,159.40000000596046,10.300000011920929,145.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",o,5691.200000017881,5815.4000000059605,124.19999998807907,108.09999999403954,-27.5,96.69999998807907
noah,"The quick brown fox jumps over the lazy dog.",w,5784.300000011921,5900.800000011921,116.5,93.09999999403954,-31.099999994039536,85.40000000596046
noah,"The quick brown fox jumps over the lazy dog.",n,5868.9000000059605,6019.300000011921,150.40000000596046,84.59999999403954,-31.900000005960464,118.5
noah,"The quick brown fox jumps over the lazy dog.", ,5976.200000017881,6113.100000023842,136.90000000596046,107.30000001192093,-43.099999994039536,93.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",f,6075.200000017881,6201.100000023842,125.90000000596046,99,-37.900000005960464,88
noah,"The quick brown fox jumps over the lazy dog.",o,6171.4000000059605,6318,146.59999999403954,96.19999998807907,-29.700000017881393,116.89999997615814
noah,"The quick brown fox jumps over the lazy dog.",x,6333,6454.600000023842,121.60000002384186,161.59999999403954,15,136.60000002384186
noah,"The quick brown fox jumps over the lazy dog.", ,6424.700000017881,6532.4000000059605,107.69999998807907,91.7000000178814,-29.900000005960464,77.7999999821186
noah,"The quick brown fox jumps over the lazy dog.",j,6493.100000023842,6558.700000017881,65.59999999403954,68.40000000596046,-39.29999998211861,26.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",u,6644.200000017881,6718.300000011921,74.09999999403954,151.09999999403954,85.5,159.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",m,6818.4000000059605,6888.200000017881,69.80000001192093,174.19999998807907,100.09999999403954,169.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",p,6953.9000000059605,7062.700000017881,108.80000001192093,135.5,65.69999998807907,174.5
noah,"The quick brown fox jumps over the lazy dog.",s,7034.300000011921,7164.800000011921,130.5,80.40000000596046,-28.400000005960464,102.09999999403954
noah,"The quick brown fox jumps over the lazy dog.", ,7118.5,7210.100000023842,91.60000002384186,84.19999998807907,-46.30000001192093,45.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",o,7179.700000017881,7306.5,126.7999999821186,61.20000001788139,-30.400000005960464,96.39999997615814
noah,"The quick brown fox jumps over the lazy dog.",v,7250.5,7357.800000011921,107.30000001192093,70.7999999821186,-56,51.30000001192093
noah,"The quick brown fox jumps over the lazy dog.",e,7386.600000023842,7544.5,157.89999997615814,136.10000002384186,28.80000001192093,186.69999998807907
noah,"The quick brown fox jumps over the lazy dog.",r,7463.300000011921,7571.800000011921,108.5,76.69999998807907,-81.19999998807907,27.30000001192093
noah,"The quick brown fox jumps over the lazy dog.", ,7513.9000000059605,7680,166.09999999403954,50.599999994039536,-57.900000005960464,108.19999998807907
noah,"The quick brown fox jumps over the lazy dog.",t,7631.200000017881,7744.9000000059605,113.69999998807907,117.30000001192093,-48.79999998211861,64.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",h,7712.700000017881,7850.4000000059605,137.69999998807907,81.5,-32.19999998807907,105.5
noah,"The quick brown fox jumps over the lazy dog.",e,7783.4000000059605,7966.5,183.09999999403954,70.69999998807907,-67,116.09999999403954
noah,"The quick brown fox jumps over the lazy dog.", ,7932.600000023842,8098.600000023842,166,149.2000000178814,-33.89999997615814,132.10000002384186
noah,"The quick brown fox jumps over the lazy dog.",l,8072.100000023842,8203.40000000596,131.2999999821186,139.5,-26.5,104.7999999821186
noah,"The quick brown fox jumps over the lazy dog.",a,8167.800000011921,8268.800000011921,101,95.69999998807907,-35.599999994039536,65.40000000596046
noah,"The quick brown fox jumps over the lazy dog.",z,8374.800000011921,8458.600000023842,83.80000001192093,207,106,189.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",y,8473.700000017881,8577.40000000596,103.69999998807907,98.90000000596046,15.099999994039536,118.7999999821186
noah,"The quick brown fox jumps over the lazy dog.", ,8596.100000023842,8724,127.89999997615814,122.40000000596046,18.700000017881393,146.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",d,8657.40000000596,8794.800000011921,137.40000000596046,61.29999998211861,-66.59999999403954,70.80000001192093
noah,"The quick brown fox jumps over the lazy dog.",o,8766.5,8925.700000017881,159.2000000178814,109.09999999403954,-28.30000001192093,130.90000000596046
noah,"The quick brown fox jumps over the lazy dog.",g,8871.300000011921,9002.300000011921,131,104.80000001192093,-54.400000005960464,76.59999999403954
noah,"The quick brown fox jumps over the lazy dog.",.,9189.5,9307.600000023842,118.10000002384186,318.19999998807907,187.19999998807907,305.30000001192093
noah,"Never underestimate the power of a good book.",e,10230.100000023842,10324.5,94.39999997615814,0,0,0
noah,"Never underestimate the power of a good book.",v,10390.300000011921,10474.800000011921,84.5,160.19999998807907,65.80000001192093,150.30000001192093
noah,"Never underestimate the power of a good book.",e,10532.100000023842,10672.300000011921,140.19999998807907,141.80000001192093,57.30000001192093,197.5
noah,"Never underestimate the power of a good book.",r,10603.90000000596,10757.100000023842,153.2000000178814,71.7999999821186,-68.40000000596046,84.80000001192093
noah,"Never underestimate the power of a good book.", ,10690.200000017881,10818.90000000596,128.69999998807907,86.30000001192093,-66.90000000596046,61.79999998211861
